I	M	N	T
2.9	2.5	4.4	4.4
7.4	5.5	4.4	8.6
9.7	7	4.5	11.7
10.2	9.2	4.5	12.1
10.7	11.3	4.5	12.6
12.2	12.2	4.5	12.6
11	12.5	4.5	12.6
11	12.6	4.5	11.7
11.3	12.6	4.5	11.6
11.8	12.6	4.6	11.6
11.8	12.6	4.6	11.6
11.6	12	4.6	11.6
11.6	12	4.6	11.7
11.7	12.1	4.6	11.5
11.8	12.1	4.6	12
11.8	12.1	4.6	12
11.8	12.1	4.6	12
11.8	12.1	4.6	12
11.8	12.1	4.6	12
11.9	12.1	4.6	12
11.9	12.1	4.6	12
11.9	12.1	4.6	12
11.9	12.1	4.6	12
11.9	12.1	4.6	12
12	12.1	4.6	12
12	12.1	4.6	12
12	12.1	4.6	12
12	12.1	4.6	12
12	12.1	4.6	12
12.1	12.1	4.6	12
12.2	12.1	4.6	12
12.2	11.8	4.6	12
12.2	11.7	4.6	12
12.2	11.7	4.6	12
12.2	11.6	4.7	12
12.3	11.9	4.7	12
12.3	11.9	4.7	12
12.3	11.9	4.7	12
12.3	11.9	4.7	12
12.3	11.9	4.7	12
12.5	11.9	4.7	12.1
12.5	11.7	4.7	12.1
12.5	11.7	4.7	12.2
12.5	11.7	4.7	12.2
12.5	11.7	4.7	12.2
12.5	11.7	4.7	12.2
12.6	11.7	4.7	12.2
12.6	11.7	4.7	12.2
12.6	11.7	4.7	12.2
12.6	11.7	4.7	12.2
12.6	11.7	4.7	12.2
12.2	11.7	4.7	12.2
12.2	11.7	4.7	12.2
12.2	11.7	4.7	12.2
12.2	11.7	4.7	12.2
12.2	11.7	4.7	12.2
12.2	11.7	4.7	12.2
12.3	11.7	4.7	12.2
12.3	11.7	4.7	12.2
12.3	11.7	4.7	12.2
12.3	11.7	4.7	12.2
12.4	12.5	4.7	12.2
12.4	12.5	4.7	12.2
12.4	12.4	4.7	12.2
12.4	12.4	4.7	12.2
12.4	12.2	4.7	12.2
12.4	12.2	4.7	12.2
12.5	12.9	4.7	12.2
12.5	12.7	4.7	12.2
12.5	12.6	4.7	12.2
12.5	12.5	4.7	12.2
11.7	12.7	4.7	12.2
11.8	12.7	4.7	12.2
11.9	12.7	4.7	12.2
12	12.7	4.7	12.2
12	12.7	4.7	12.2
12	12.7	4.7	12.2
12.1	12.7	4.7	12.2
12.1	12.7	4.7	12.2
12.1	12.7	4.7	12.2
12.1	12.7	4.7	12.2
11.9	12.7	4.8	12.2
11.9	12.7	4.8	12.2
11.9	12.7	4.8	12.2
11.9	12.6	4.8	12.2
12.1	12.6	4.8	12.2
12.1	12.6	5	12.2
12.1	12.6	5.1	12.2
12.1	12.6	5.1	12.2
12.1	12.6	5.1	12.2
12.1	12.6	5.1	12.2
12.2	12.6	5.1	12.2
12.2	12.6	5.1	12.2
12.1	12.6	5.1	12.2
12.1	12.6	5.1	12.2
12.1	12.6	5.2	12.2
12.1	12.6	5.2	12.2
12.1	12.6	5.2	12.2
12.1	12.6	5.2	12.2
12.3	12.6	5.2	12.2
12.3	12.6	5.2	12.2
12.3	12.6	5.2	12.2
12.3	12.6	5.2	12.2
12.3	12.6	5.2	12.2
12.3	12.6	5.2	12.2
12.3	12.6	5.2	12.2
12.3	12.6	5.2	12.2
12.5	12.6	5.2	12.2
12.5	5.5	5.2	12.2
12.5	6.2	5.2	12.2
12.6	8.2	5.2	12.2
12.6	11.3	5.2	12.2
12.6	12.3	2.7	12.2
12.6	11.6	4.5	12.2
12.6	11.6	4.5	12.2
12.7	11.7	4.5	12.2
12.7	11.7	4.5	12.2
12.7	11.7	4.5	12.2
12.8	11.7	4.5	12.2
12.4	11.7	4.5	12.2
12.6	11.8	4.6	12.2
12.7	11.8	4.6	12.2
12.7	11.8	4.6	12.2
12.8	11.8	4.6	12.2
12.9	11.8	4.6	12.2
12.9	11.8	4.6	12.2
12.9	11.8	4.6	12.2
12.9	11.8	4.6	12.2
12.9	11.8	4.6	12.2
13	11.8	4.6	12.2
13	11.8	4.6	12.2
